EVACode,UICCode,code,ingangsDatum,heeftFaciliteiten,heeftReisassistentie,heeftVertrektijden,land,lat,lng,radius,naderenRadius,namen,synoniemen,nearbyMeLocationId,sporen,stationType,cdCode
8000139,8002084,MGZB,2018-12-16,True,False,True,D,48.460226,10.278707,0,0,"{'lang': 'Günzburg', 'middel': 'Günzburg', 'kort': 'Günzburg'}",['Gunzburg'],"{'value': 'MGZB', 'type': 'stationV2'}",[],SNELTREIN_STATION,
8000013,8002140,MA,2018-12-16,True,False,True,D,48.3654307143927,10.88547706604,0,0,"{'lang': 'Augsburg Hbf', 'middel': 'Augsburg Hbf', 'kort': 'Augsburg'}",[],"{'value': 'MA', 'type': 'stationV2'}",[],SNELTREIN_STATION,
8010255,8003004,BHF,2018-12-16,True,False,True,D,52.5104989,13.4346995,0,0,"{'lang': 'Berlin Ostbahnhof', 'middel': 'Berlin Ostbhf', 'kort': 'Berlin Ost'}",[],"{'value': 'BHF', 'type': 'stationV2'}",[],KNOOPPUNT_INTERCITY_STATION,
8010404,8003025,BSPD,2018-12-16,True,False,True,D,52.5343152,13.1989467,0,0,"{'lang': 'Berlin-Spandau', 'middel': 'Berlin-Spandau', 'kort': 'Berlin-Spa'}",[],"{'value': 'BSPD', 'type': 'stationV2'}",[],INTERCITY_STATION,
8011102,8007799,GSB,2018-12-16,True,False,True,D,52.5486327,13.3904267,0,0,"{'lang': 'Berlin Gesundbrunnen', 'middel': 'Berlin Gesundbr.', 'kort': 'Berlin Gsb'}",[],"{'value': 'GSB', 'type': 'stationV2'}",[],INTERCITY_STATION,
8000037,8008016,ESRT,2018-12-16,True,False,True,D,51.442281,7.55896,0,0,"{'lang': 'Schwerte (Ruhr)', 'middel': 'Schwerte (R)', 'kort': 'Schwerte'}",[],"{'value': 'ESRT', 'type': 'stationV2'}",[],STOPTREIN_STATION,
8000142,8008073,HAGEN,2013-05-29,True,False,True,D,51.362747,7.460249,0,0,"{'lang': 'Hagen Hbf', 'middel': 'Hagen Hbf', 'kort': 'Hagen'}",[],"{'value': 'HAGEN', 'type': 'stationV2'}",[],KNOOPPUNT_SNELTREIN_STATION,
8006718,8008082,WUPPV,2018-12-16,True,False,True,D,51.23351,7.07237,0,0,"{'lang': 'Wuppertal-Vohwinkel', 'middel': 'Wupp-Vohwinkel', 'kort': 'Wupp-Vohw'}",[],"{'value': 'WUPPV', 'type': 'stationV2'}",[],STOPTREIN_STATION,
8000085,8008094,DUSSEL,2017-06-07,True,False,True,D,51.220146,6.793137,0,0,"{'lang': 'Düsseldorf Hbf', 'middel': 'Düsseldorf Hbf', 'kort': 'Düsseldrf'}",['Dusseldorf'],"{'value': 'DUSSEL', 'type': 'stationV2'}",[],MEGA_STATION,
8001795,8008134,EENP,2018-12-16,True,False,True,D,51.304892,7.343285,0,0,"{'lang': 'Ennepetal', 'middel': 'Ennepetal', 'kort': 'Ennepetal'}",[],"{'value': 'EENP', 'type': 'stationV2'}",[],STOPTREIN_STATION,
8000033,8008136,KSWE,2018-12-16,True,False,True,D,51.290526,7.289681,0,0,"{'lang': 'Schwelm', 'middel': 'Schwelm', 'kort': 'Schwelm'}",[],"{'value': 'KSWE', 'type': 'stationV2'}",[],STOPTREIN_STATION,
